Title,Company,Salary,Location,Link
Open vacancy in Samsung Electronics Required Fresher Male & Female Candidates in pan India location,SAMSUNG ELECTRONICS,"19,500 - 55,500",Mumbai,https://www.quikr.com/jobs/open-vacancy-in-samsung-electronics-required-fresher-male-female-candidates-in-pan-india-location-mumbai/p/372934605
Sr Executive and Assistant Executive vacancy- CA Firm,,"10,000 - 30,000",Mumbai,https://www.quikr.com/jobs/sr-executive-and-assistant-executive-vacancy-ca-firm-mumbai/p/372640207
Job Vacancy Software Engineer,GII,"25,000 - 50,000",Mumbai,https://www.quikr.com/jobs/job-vacancy-software-engineer-mumbai/p/372558358
Driver vacancy in Mumbai,,"12,000 - 17,000",Mumbai,https://www.quikr.com/jobs/driver-vacancy-in-mumbai-mumbai/p/372540570
Ground Staff Vacancy Available Interested Candidate Apply Now...,,"25,000 - 30,000",Mumbai,https://www.quikr.com/jobs/ground-staff-vacancy-available-interested-candidate-apply-now.-mumbai/p/372519844
Urgent vacancy Nursing staff,,"14,000 - 15,000",Mumbai,https://www.quikr.com/jobs/urgent-vacancy-nursing-staff-mumbai/p/372465386
VACANCY GOING FOR THE GROUND STAFF POST IN AIRLINES APPLY FOR THIS.......,,"18,000 - 29,000",Mumbai,https://www.quikr.com/jobs/vacancy-going-for-the-ground-staff-post-in-airlines-apply-for-this.-mumbai/p/372415463
AIRLINES JOB VACANCY AVAILABLE IN YOUR NEAREST AIRPORT APPLY NOW.....,,"25,000 - 30,000",Mumbai,https://www.quikr.com/jobs/airlines-job-vacancy-available-in-your-nearest-airport-apply-now.-mumbai/p/371999520
Urgent vacancy for Female for Counter sales in Ladies clothe shop,,"11,000 - 16,000",Mumbai,https://www.quikr.com/jobs/urgent-vacancy-for-female-for-counter-sales-in-ladies-clothe-shop-mumbai/p/372262223
AIRLINES JOB VACANCY AVAILABLE IN YOUR NEAREST AIRPORT APPLY NOW.....,,"25,000 - 30,000",Mumbai,https://www.quikr.com/jobs/airlines-job-vacancy-available-in-your-nearest-airport-apply-now.-mumbai/p/372108260
"Vacancy Data Entry Back Office Apply 10th 12th BA BSC B,Com Graduate Fresher & Experience Candidates Apply",Hr Recruiter,"19,500 - 36,500",Mumbai,https://www.quikr.com/jobs/vacancy-data-entry-back-office-apply-10th-12th-ba-bsc-b-com-graduate-fresher-experience-candidates-apply-mumbai/p/372000652
Vacancy for Back Office,Engineering Manufacturing company,"14,000 - 15,000",Mumbai,https://www.quikr.com/jobs/vacancy-for-back-office-mumbai/p/371681443
LIMITED VACANCY AVAILABLE IN YOUR NEAREST AIRPORT APPLY NOW......,,"25,000 - 30,000",Mumbai,https://www.quikr.com/jobs/limited-vacancy-available-in-your-nearest-airport-apply-now.-mumbai/p/372692945
CANDIDATE REQUIREMENT FOR AVIATION VACANCY AVAILABLE APPLY NOW.....,,"25,000 - 30,000",Mumbai,https://www.quikr.com/jobs/candidate-requirement-for-aviation-vacancy-available-apply-now.-mumbai/p/372309531
CANDIDATE REQUIREMENT FOR AVIATION VACANCY AVAILABLE APPLY NOW.....,,"25,000 - 30,000",Mumbai,https://www.quikr.com/jobs/candidate-requirement-for-aviation-vacancy-available-apply-now.-mumbai/p/371768919
,,,,
,,,,
,,,,
AIRLINES GROUND STAFF VACANCY|| AIRLINES GROUND STAFF & TICKETING COUNTERS,Individual,"35,000 - 65,000",Mumbai,https://www.quikr.com/jobs/airlines-ground-staff-vacancy-airlines-ground-staff-ticketing-counters-mumbai/p/372953350
ITI Job vacancy,Tathe Staffing,"15,000 - 17,000",Mumbai,https://www.quikr.com/jobs/iti-job-vacancy-mumbai/p/372838677
Immediate required Interior Designer || Limited vacancy  || APPLY NOW,SPACECRAFT INFRA PROJECTS,"8,000 - 15,000",Mumbai,https://www.quikr.com/jobs/immediate-required-interior-designer-limited-vacancy-apply-now-mumbai/p/372091665
vacancy fot Call Centre Executives Bulk hiring,FBTS ES,"18,000 - 22,000",Mumbai,https://www.quikr.com/jobs/vacancy-fot-call-centre-executives-bulk-hiring-mumbai/p/372943594
AIRLINES GROUND STAFF VACANCY|| AIRLINES GROUND STAFF & TICKETING COUNTERS,Individual,"35,000 - 65,000",Mumbai,https://www.quikr.com/jobs/airlines-ground-staff-vacancy-airlines-ground-staff-ticketing-counters-mumbai/p/372857699
office boy come house keeping vacancy,,"10,000 - 15,000",Mumbai,https://www.quikr.com/jobs/office-boy-come-house-keeping-vacancy-mumbai/p/372774175
Security guards Vacancy,,"15,000 - 26,000",Mumbai,https://www.quikr.com/jobs/security-guards-vacancy-mumbai/p/372501411
Now vacancy available on Airlines Apply now,,"25,000 - 30,000",Mumbai,https://www.quikr.com/jobs/now-vacancy-available-on-airlines-apply-now-mumbai/p/372332615
Vacancy for Accounts executive in CA firm,A P NAGPAL AND COMPANY,"20,000 - 30,000",Mumbai,https://www.quikr.com/jobs/vacancy-for-accounts-executive-in-ca-firm-mumbai/p/372383485
Urgent vacancy for tele sales executive,,"10,000 - 20,000",Mumbai,https://www.quikr.com/jobs/urgent-vacancy-for-tele-sales-executive-mumbai/p/372442317
,,,,
,,,,
,,,,
Limited Vacancies for Cab Drivers at Everest Fleet,Everest Fleet Pvt.Ltd,"30,000 - 35,000",Mumbai,https://www.quikr.com/jobs/limited-vacancies-for-cab-drivers-at-everest-fleet-mumbai/p/372174442
Hostesses needed Urgently 47 vacancy Left Hurry Up,,"28,000 - 49,000",Mumbai,https://www.quikr.com/jobs/hostesses-needed-urgently-47-vacancy-left-hurry-up-mumbai/p/372276050
Argent job vacancy in Ecomerce platform pinplash Interested person apply the jobs,,"40,000 - 80,000",Mumbai,https://www.quikr.com/jobs/argent-job-vacancy-in-ecomerce-platform-pinplash-interested-person-apply-the-jobs-mumbai/p/371934260
VACANCY FOR D PHARMACIST,,"10,000 - 15,000",Mumbai,https://www.quikr.com/jobs/vacancy-for-d-pharmacist-mumbai/p/371797280
Vacancy for Accounts executive,A P NAGPAL AND COMPANY,"18,000 - 25,000",Mumbai,https://www.quikr.com/jobs/vacancy-for-accounts-executive-mumbai/p/371832058
VERY URGENT REQUIREMENT FOR AIRPORT GROUND STAFF IN MUMBAI AIRPORT AND FRESHER STUDENT VACANCY AVAILABLE,,"26,800 - 57,800",Mumbai,https://www.quikr.com/jobs/very-urgent-requirement-for-airport-ground-staff-in-mumbai-airport-and-fresher-student-vacancy-available-mumbai/p/371756671
Fire fighter job vacancy,,"16,515 - 17,265",Mumbai,https://www.quikr.com/jobs/fire-fighter-job-vacancy-mumbai/p/372702644
Need fresher for upcoming navi mumbai airport mails and females both required urgent bases airport authrity job airlines job airport relet huge vacany,,"18,000 - 27,000",Mumbai,https://www.quikr.com/jobs/need-fresher-for-upcoming-navi-mumbai-airport-mails-and-females-both-required-urgent-bases-airport-authrity-job-airlines-job-airport-relet-huge-vacany-mumbai/p/372164256
REQUIREMENTS BOYS CANDIDATES FOR THERAPIST JOB VACANCIE,,"29,300 - 30,300",Mumbai,https://www.quikr.com/jobs/requirements-boys-candidates-for-therapist-job-vacancie-mumbai/p/372962420
Pharmacist Job,,"13,000 - 17,000",Mumbai,https://www.quikr.com/jobs/pharmacist-job-mumbai/p/372903107
X- ray Technician,,"12,000 - 15,000",Mumbai,https://www.quikr.com/jobs/x-ray-technician-mumbai/p/372052905
ACCOUNTANT ON RETAINERSHIP BASIS,RAJESH PODDAR CA,"10,000 - 20,000",Mumbai,https://www.quikr.com/jobs/accountant-on-retainership-basis-mumbai/p/372942489
required nurses and doctors,,"30,000 - 100,000",Mumbai,https://www.quikr.com/jobs/required-nurses-and-doctors-mumbai/p/372781400
AIRPORT JOB 2025 || MUMBAI AIRPORT || 12th OR ITI PASS CANDIDATE || FRESHER CAN APPLY.,,"45,000 - 65,000",Mumbai,https://www.quikr.com/jobs/airport-job-2025-mumbai-airport-12th-or-iti-pass-candidate-fresher-can-apply.-mumbai/p/372781514
AIRPORT JOB 2025 || MUMBAI AIRPORT || 12th OR ITI PASS CANDIDATE || FRESHER CAN APPLY.,,"45,000 - 65,000",Mumbai,https://www.quikr.com/jobs/airport-job-2025-mumbai-airport-12th-or-iti-pass-candidate-fresher-can-apply.-mumbai/p/372731867
,,,,
AIRPORT JOB 2025 || MUMBAI AIRPORT || 12th OR ITI PASS CANDIDATE || FRESHER CAN APPLY.,,"45,000 - 65,000",Mumbai,https://www.quikr.com/jobs/airport-job-2025-mumbai-airport-12th-or-iti-pass-candidate-fresher-can-apply.-mumbai/p/372624374
AIRPORT JOB 2025 || MUMBAI AIRPORT || 12th OR ITI PASS CANDIDATE || FRESHER CAN APPLY.,,"45,000 - 65,000",Mumbai,https://www.quikr.com/jobs/airport-job-2025-mumbai-airport-12th-or-iti-pass-candidate-fresher-can-apply.-mumbai/p/372601263
Front Office and Admin job,Engineering & Construction Company,"15,000 - 18,000",Mumbai,https://www.quikr.com/jobs/front-office-and-admin-job-mumbai/p/372582618
SCHOOL AND JR COLLEGE TEACHER IN VASAI,,"15,000 - 25,000",Mumbai,https://www.quikr.com/jobs/school-and-jr-college-teacher-in-vasai-mumbai/p/372471394
WORK FROM HOME JOB AVAILABLE AS A PART TIME,INDIVIDUAL,"10,000 - 25,000",Mumbai,https://www.quikr.com/jobs/work-from-home-job-available-as-a-part-time-mumbai/p/372400272
Sales Manager,Eagle Vision Insure Wealth,"12,000 - 50,000",Mumbai,https://www.quikr.com/jobs/sales-manager-mumbai/p/372432287
AIRPORT JOB 2024 || MUMBAI AIRPORT || 12th OR ITI PASS CANDIDATE || FRESHER CAN APPLY.,,"35,000 - 65,000",Mumbai,https://www.quikr.com/jobs/airport-job-2024-mumbai-airport-12th-or-iti-pass-candidate-fresher-can-apply.-mumbai/p/372416945
Office boy,Engineering & Construction Company,"10,000 - 14,000",Mumbai,https://www.quikr.com/jobs/office-boy-mumbai/p/372412500
3 Years Wok permit for Poland,,"100,000 - 120,000",Mumbai,https://www.quikr.com/jobs/3-years-wok-permit-for-poland-mumbai/p/372347630
